date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,pctChange
2013-01-02,27.2,28.5,25.9,27.2,27.8,27.2,27.8,27.576,9.69,9.904,9.69,9.904,9.824,2.2059
2013-01-03,27.8,29.1,26.5,27.9,28.5,27.0,28.5,28.05,9.939,10.153,9.619,10.153,9.993,2.518
2013-01-04,28.5,29.9,27.1,28.0,29.5,27.8,29.2,28.821,9.975,10.509,9.904,10.402,10.267,2.4561
2013-01-07,29.2,30.6,27.8,28.0,30.0,28.0,30.0,29.373,9.975,10.687,9.975,10.687,10.464,2.7397
2013-01-08,30.0,31.5,28.5,30.6,31.5,30.1,31.5,30.809,10.901,11.222,10.723,11.222,10.976,5.0
2013-01-09,31.5,33.0,30.0,30.1,31.7,30.0,31.7,31.056,10.723,11.293,10.687,11.293,11.064,0.6349
2013-01-10,31.7,33.2,30.2,31.8,32.5,30.7,32.5,31.808,11.329,11.578,10.937,11.578,11.331,2.5237
2013-01-11,32.5,34.1,30.9,32.9,32.9,32.0,32.1,32.547,11.721,11.721,11.4,11.436,11.595,-1.2308
2013-01-14,32.1,33.7,30.5,31.5,31.9,30.8,31.9,31.388,11.222,11.364,10.972,11.364,11.182,-0.6231
2013-01-15,31.9,34.1,29.7,31.4,32.0,31.2,32.0,31.697,11.186,11.4,11.115,11.4,11.292,0.3135
2013-01-16,32.0,34.2,29.8,31.5,32.9,31.5,32.1,32.203,11.222,11.721,11.222,11.436,11.472,0.3125
2013-01-17,32.1,34.3,29.9,32.5,32.5,31.5,31.5,32.209,11.578,11.578,11.222,11.222,11.474,-1.8692
2013-01-18,31.5,33.7,29.3,32.0,32.0,31.4,31.6,31.739,11.4,11.4,11.186,11.257,11.307,0.3175
2013-01-21,31.6,33.8,29.4,30.8,31.7,30.8,31.1,31.031,10.972,11.293,10.972,11.079,11.055,-1.5823
2013-01-22,31.1,33.2,29.0,31.2,31.2,30.6,30.6,30.919,11.115,11.115,10.901,10.901,11.015,-1.6077
2013-01-23,30.6,32.7,28.5,29.8,30.6,29.7,30.4,29.971,10.616,10.901,10.581,10.83,10.677,-0.6536
2013-01-24,30.4,32.5,28.3,30.5,31.0,30.4,31.0,30.706,10.866,11.044,10.83,11.044,10.939,1.9737
2013-01-25,31.0,33.1,28.9,31.0,32.5,31.0,32.5,32.01,11.044,11.578,11.044,11.578,11.403,4.8387
2013-01-28,32.5,34.7,30.3,32.5,33.0,32.4,32.8,32.704,11.578,11.756,11.542,11.685,11.651,0.9231
2013-01-29,32.8,35.0,30.6,32.9,34.0,32.7,34.0,33.372,11.721,12.112,11.649,12.112,11.889,3.6585
2013-01-30,34.0,36.3,31.7,34.0,34.4,33.6,34.3,34.117,12.112,12.255,11.97,12.219,12.154,0.8824
2013-01-31,34.3,36.7,31.9,33.5,34.0,33.5,34.0,33.874,11.934,12.112,11.934,12.112,12.067,-0.8746
2013-02-01,34.0,36.3,31.7,33.8,34.3,32.8,34.3,33.844,12.041,12.219,11.685,12.219,12.057,0.8824
2013-02-04,34.3,36.7,31.9,34.3,34.3,33.6,33.7,34.158,12.219,12.219,11.97,12.006,12.169,-1.7493
2013-02-05,33.7,36.0,31.4,33.7,33.7,33.2,33.7,33.448,12.006,12.006,11.827,12.006,11.916,0.0
2013-02-06,33.7,36.0,31.4,33.7,34.5,33.7,34.5,34.164,12.006,12.291,12.006,12.291,12.171,2.3739
2013-02-07,34.5,36.9,32.1,34.5,34.7,34.3,34.5,34.523,12.291,12.362,12.219,12.291,12.299,0.0
2013-02-08,34.5,36.9,32.1,34.7,34.7,34.4,34.5,34.57,12.362,12.362,12.255,12.291,12.315,0.0
2013-02-18,34.5,36.9,32.1,34.5,34.5,34.3,34.3,34.402,12.291,12.291,12.219,12.219,12.256,-0.5797
2013-02-19,34.3,36.7,31.9,34.2,34.3,33.7,33.9,34.021,12.184,12.219,12.006,12.077,12.12,-1.1662
