date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
02/01/2013,80.0,84.0,76.0,79.5,82.0,79.0,80.0,80.622,16.834,17.364,16.728,16.94,17.072
03/01/2013,80.0,84.0,76.0,80.0,80.0,79.0,80.0,79.702,16.94,16.94,16.728,16.94,16.876
04/01/2013,80.0,84.0,76.0,80.0,80.5,79.0,80.0,79.924,16.94,17.046,16.728,16.94,16.924
07/01/2013,80.0,84.0,76.0,80.5,84.0,80.5,83.5,83.103,17.046,17.787,17.046,17.681,17.596
08/01/2013,83.5,87.5,79.5,84.5,85.0,83.5,84.5,84.235,17.892,17.999,17.681,17.892,17.836
09/01/2013,84.5,88.5,80.5,84.5,84.5,83.0,83.0,83.848,17.892,17.892,17.575,17.575,17.755
10/01/2013,83.0,87.0,79.0,83.0,83.0,81.0,83.0,82.468,17.575,17.575,17.151,17.575,17.462
11/01/2013,83.0,87.0,79.0,84.5,84.5,82.5,83.5,83.394,17.892,17.892,17.469,17.681,17.658
14/01/2013,83.5,87.5,79.5,84.0,84.0,83.0,83.5,83.514,17.787,17.787,17.575,17.681,17.684
15/01/2013,83.5,89.0,78.0,85.0,85.5,83.5,83.5,84.117,17.999,18.104,17.681,17.681,17.812
16/01/2013,83.5,89.0,78.0,85.0,85.5,83.5,84.5,84.639,17.999,18.104,17.681,17.892,17.922
17/01/2013,84.5,90.0,79.0,85.0,85.5,84.5,85.0,84.976,17.999,18.104,17.892,17.999,17.994
18/01/2013,85.0,90.5,79.5,85.0,85.5,84.5,85.0,84.887,17.999,18.104,17.892,17.999,17.974
21/01/2013,85.0,90.5,79.5,84.5,85.5,84.0,84.0,84.538,17.892,18.104,17.787,17.787,17.9
22/01/2013,84.0,67.5,59.0,67.0,67.0,64.5,65.0,65.127,18.798,18.798,18.097,18.237,18.272
23/01/2013,65.0,69.5,60.5,65.5,66.5,65.0,65.5,65.566,18.377,18.658,18.237,18.377,18.396
24/01/2013,65.5,70.0,61.0,65.5,66.0,65.0,65.5,65.436,18.377,18.517,18.237,18.377,18.359
25/01/2013,65.5,70.0,61.0,65.5,66.5,65.5,66.0,65.97,18.377,18.658,18.377,18.517,18.508
28/01/2013,66.0,70.5,61.5,67.5,68.0,67.0,67.0,67.285,18.938,19.079,18.798,18.798,18.877
29/01/2013,67.0,71.5,62.5,67.0,67.5,66.5,67.0,66.965,18.798,18.938,18.658,18.798,18.788
30/01/2013,67.0,71.5,62.5,67.0,67.5,66.5,67.0,67.009,18.798,18.938,18.658,18.798,18.801
31/01/2013,67.0,71.5,62.5,66.0,67.0,66.0,66.5,66.384,18.517,18.798,18.517,18.658,18.625
01/02/2013,66.5,71.0,62.0,66.5,67.0,66.0,67.0,66.582,18.658,18.798,18.517,18.798,18.682
04/02/2013,67.0,71.5,62.5,67.0,67.5,67.0,67.0,67.01,18.798,18.938,18.798,18.798,18.801
05/02/2013,67.0,71.5,62.5,67.0,68.0,67.0,67.0,67.026,18.798,19.079,18.798,18.798,18.804
06/02/2013,67.0,71.5,62.5,68.0,68.0,67.0,67.5,67.439,19.079,19.079,18.798,18.938,18.921
07/02/2013,67.5,72.0,63.0,68.0,68.0,67.0,67.5,67.078,19.079,19.079,18.798,18.938,18.82
08/02/2013,67.5,72.0,63.0,67.0,68.0,66.0,67.5,67.035,18.798,19.079,18.517,18.938,18.807
18/02/2013,67.5,72.0,63.0,67.5,67.5,66.0,66.0,66.774,18.938,18.938,18.517,18.517,18.734
19/02/2013,66.0,70.5,61.5,68.0,68.0,66.5,67.0,67.052,19.079,19.079,18.658,18.798,18.812
20/02/2013,67.0,71.5,62.5,67.5,67.5,66.5,67.0,67.01,18.938,18.938,18.658,18.798,18.801
21/02/2013,67.0,71.5,62.5,66.5,67.0,65.0,65.0,66.137,18.658,18.798,18.237,18.237,18.556
22/02/2013,65.0,69.5,60.5,65.0,66.0,63.5,64.0,64.583,18.237,18.517,17.816,17.956,18.12
25/02/2013,64.0,68.0,60.0,65.0,65.0,64.0,65.0,64.657,18.237,18.237,17.956,18.237,18.14
26/02/2013,65.0,69.5,60.5,64.5,64.5,61.5,62.5,63.091,18.097,18.097,17.255,17.535,17.701
27/02/2013,62.5,66.5,58.5,62.5,63.5,62.0,63.5,62.538,17.535,17.816,17.395,17.816,17.547
28/02/2013,63.5,67.5,59.5,63.5,67.5,63.5,67.0,66.045,17.816,18.938,17.816,18.798,18.53
01/03/2013,67.0,71.5,62.5,68.0,68.0,66.0,66.0,67.17,19.079,19.079,18.517,18.517,18.845
04/03/2013,66.0,70.5,61.5,67.5,70.0,66.5,68.0,68.293,18.938,19.639,18.658,19.079,19.161
05/03/2013,68.0,72.5,63.5,67.5,67.5,66.0,66.0,66.402,18.938,18.938,18.517,18.517,18.63
06/03/2013,66.0,70.5,61.5,68.0,68.0,65.5,66.0,66.158,19.079,19.079,18.377,18.517,18.562
07/03/2013,66.0,70.5,61.5,66.0,66.0,64.5,64.5,65.113,18.517,18.517,18.097,18.097,18.268
08/03/2013,64.5,69.0,60.0,65.0,65.5,64.5,65.0,64.873,18.237,18.377,18.097,18.237,18.202
11/03/2013,65.0,69.5,60.5,65.0,66.0,64.5,66.0,65.155,18.237,18.517,18.097,18.517,18.28
12/03/2013,66.0,70.5,61.5,65.0,65.5,63.5,63.5,63.891,18.237,18.377,17.816,17.816,17.925
13/03/2013,63.5,67.5,59.5,64.5,65.0,63.0,63.5,63.612,18.097,18.237,17.676,17.816,17.848
