date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage
02/01/2013,7.5,8.0,7.0,7.7,7.7,7.1,7.1,7.1,1.163,1.163,1.073,1.073,1.073
03/01/2013,7.1,7.5,6.7,7.1,7.1,7.1,7.1,7.1,1.073,1.073,1.073,1.073,1.073
04/01/2013,7.1,7.5,6.7,7.5,7.5,7.5,7.5,7.5,1.134,1.134,1.134,1.134,1.134
07/01/2013,7.5,8.0,7.0,7.5,7.5,7.5,7.5,7.5,1.134,1.134,1.134,1.134,1.134
08/01/2013,7.5,8.0,7.0,7.8,7.8,7.4,7.7,7.7,1.178,1.178,1.119,1.163,1.163
09/01/2013,7.7,8.2,7.2,8.2,8.2,7.8,7.8,7.8,1.239,1.239,1.178,1.178,1.178
10/01/2013,7.8,8.3,7.3,7.8,7.8,7.8,7.8,7.8,1.178,1.178,1.178,1.178,1.178
11/01/2013,7.8,8.3,7.3,7.5,7.5,7.4,7.4,7.4,1.134,1.134,1.119,1.119,1.119
14/01/2013,7.4,7.9,6.9,7.6,7.7,7.6,7.7,7.7,1.149,1.163,1.149,1.163,1.163
15/01/2013,7.7,8.4,7.0,7.7,8.4,7.7,8.4,0.0,1.163,1.269,1.163,1.269,0.0
16/01/2013,8.4,9.2,7.6,8.5,9.0,8.4,8.5,8.5,1.284,1.36,1.269,1.284,1.284
17/01/2013,8.5,9.3,7.7,8.9,9.1,8.9,9.1,9.1,1.345,1.376,1.345,1.376,1.376
18/01/2013,9.1,10.0,8.2,9.5,9.5,9.5,9.5,9.5,1.437,1.437,1.437,1.437,1.437
21/01/2013,9.5,10.4,8.6,9.4,9.4,9.0,9.0,9.0,1.422,1.422,1.36,1.36,1.36
22/01/2013,9.0,9.9,8.1,8.1,8.8,8.1,8.8,8.5,1.224,1.33,1.224,1.33,1.284
23/01/2013,8.5,9.3,7.7,8.1,8.7,8.1,8.6,8.6,1.224,1.315,1.224,1.299,1.299
24/01/2013,8.6,9.4,7.8,8.8,8.9,8.8,8.9,8.8,1.33,1.345,1.33,1.345,1.33
25/01/2013,8.8,9.6,8.0,8.0,9.1,8.0,9.1,9.0,1.21,1.376,1.21,1.376,1.36
28/01/2013,9.0,9.9,8.1,9.0,9.0,9.0,9.0,9.0,1.36,1.36,1.36,1.36,1.36
29/01/2013,9.0,9.9,8.1,9.0,9.0,9.0,9.0,9.0,1.36,1.36,1.36,1.36,1.36
30/01/2013,9.0,9.9,8.1,9.0,9.0,9.0,9.0,9.0,1.36,1.36,1.36,1.36,1.36
31/01/2013,9.0,9.9,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
01/02/2013,8.9,9.7,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
04/02/2013,8.9,9.7,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
05/02/2013,8.9,9.7,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
06/02/2013,8.9,9.7,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
07/02/2013,8.9,9.7,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
08/02/2013,8.9,9.7,8.1,8.9,8.9,8.9,8.9,8.9,1.345,1.345,1.345,1.345,1.345
18/02/2013,8.9,9.7,8.1,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
19/02/2013,8.6,9.4,7.8,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
20/02/2013,8.6,9.4,7.8,7.9,8.6,7.9,8.6,8.6,1.194,1.299,1.194,1.299,1.299
21/02/2013,8.6,9.4,7.8,7.9,8.4,7.9,8.4,8.2,1.194,1.269,1.194,1.269,1.239
22/02/2013,8.2,9.0,7.4,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
25/02/2013,8.6,9.4,7.8,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
26/02/2013,8.6,9.4,7.8,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
27/02/2013,8.6,9.4,7.8,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
28/02/2013,8.6,9.4,7.8,8.8,8.8,8.8,8.8,8.8,1.33,1.33,1.33,1.33,1.33
01/03/2013,8.8,9.6,8.0,8.0,8.0,8.0,8.0,8.0,1.21,1.21,1.21,1.21,1.21
04/03/2013,8.0,8.8,7.2,8.5,8.5,8.5,8.5,8.5,1.284,1.284,1.284,1.284,1.284
05/03/2013,8.5,9.3,7.7,8.5,8.5,8.5,8.5,8.5,1.284,1.284,1.284,1.284,1.284
06/03/2013,8.5,9.3,7.7,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
07/03/2013,8.6,9.4,7.8,8.6,8.6,8.6,8.6,8.6,1.299,1.299,1.299,1.299,1.299
08/03/2013,8.6,9.4,7.8,8.3,8.3,8.3,8.3,8.3,1.254,1.254,1.254,1.254,1.254
11/03/2013,8.3,9.1,7.5,8.3,8.3,8.3,8.3,8.3,1.254,1.254,1.254,1.254,1.254
12/03/2013,8.3,9.1,7.5,8.3,8.3,8.3,8.3,8.3,1.254,1.254,1.254,1.254,1.254
13/03/2013,8.3,9.1,7.5,7.8,7.8,7.8,7.8,7.8,1.178,1.178,1.178,1.178,1.178
14/03/2013,7.8,8.5,7.1,7.8,7.8,7.8,7.8,7.8,1.178,1.178,1.178,1.178,1.178
